fac_id,region,finalwt,ipw,absprobsamp,abshwkwt,probvign,hwkvignwt,countycode,districtcode,subcountycode,parishcode
1,1.0,23.45625,23.45625,1.0,23.45625,0.33333334,70.368744,3.0,24.0,73.0,225.0
2,1.0,23.841787,23.841787,0.42857143,55.630836,0.21428572,111.26167,3.0,24.0,195.0,44.0
3,1.0,18.710543,18.710543,0.5,37.421085,0.5,37.421085,24.0,30.0,71.0,131.0
4,1.0,14.479682,14.479682,0.7777778,18.616734,0.44444445,32.579285,24.0,30.0,84.0,140.0
5,1.0,20.824352,20.824352,0.6,34.707253,0.4,52.060883,24.0,30.0,93.0,154.0
6,1.0,8.745279,8.745279,0.6666667,13.117919,0.33333334,26.235838,24.0,30.0,103.0,199.0
7,1.0,17.758368,17.758368,1.0,17.758368,1.0,17.758368,34.0,31.0,106.0,88.0
8,1.0,15.288821,15.288821,1.0,15.288821,0.33333334,45.866463,34.0,31.0,110.0,89.0
9,1.0,12.049419,12.049419,0.75,16.065893,0.25,48.197678,34.0,31.0,152.0,48.0
10,1.0,12.049419,12.049419,0.0,,0.15384616,78.32122,34.0,31.0,152.0,147.0
11,1.0,12.049419,12.049419,0.71428573,16.869186,0.2857143,42.172966,34.0,31.0,152.0,259.0
12,1.0,3.3905833,3.3905833,1.0,3.3905833,0.5,6.7811666,34.0,31.0,166.0,175.0
13,1.0,46.17045,46.17045,1.0,46.17045,1.0,46.17045,21.0,34.0,90.0,211.0
14,1.0,26.274736,26.274736,1.0,26.274736,0.5,52.549473,33.0,35.0,120.0,210.0
15,1.0,10.749055,10.749055,1.0,10.749055,1.0,10.749055,33.0,35.0,125.0,246.0
16,1.0,21.117891,21.117891,1.0,21.117891,0.33333334,63.353676,33.0,35.0,138.0,223.0
17,1.0,10.973065,10.973065,0.46153846,23.774977,0.15384616,71.32492,36.0,18.0,38.0,132.0
18,1.0,10.973065,10.973065,1.0,10.973065,1.0,10.973065,36.0,18.0,38.0,190.0
19,1.0,3.5756428,3.5756428,0.25,14.302571,0.125,28.605143,36.0,18.0,79.0,321.0
20,1.0,13.0135355,13.0135355,1.0,13.0135355,0.5,26.027071,36.0,18.0,88.0,62.0
21,1.0,6.2062674,6.2062674,0.4,15.515669,0.4,15.515669,36.0,18.0,89.0,255.0
22,1.0,12.294663,12.294663,0.4,30.736658,0.4,30.736658,36.0,18.0,161.0,268.0
23,1.0,3.887751,3.887751,0.6666667,5.831627,0.6666667,5.831627,15.0,37.0,83.0,133.0
24,1.0,3.887751,3.887751,0.6666667,5.831627,0.33333334,11.663254,15.0,37.0,83.0,133.0
25,1.0,1.390919,1.390919,0.75,1.8545587,0.25,5.563676,15.0,37.0,86.0,178.0
26,1.0,1.390919,1.390919,1.0,1.390919,0.33333334,4.172757,15.0,37.0,86.0,253.0
27,1.0,2.9011467,2.9011467,1.0,2.9011467,0.25,11.604587,15.0,37.0,165.0,183.0
28,1.0,2.9011467,2.9011467,0.45454547,6.3825226,0.09090909,31.912613,15.0,37.0,165.0,201.0
29,1.0,2.9011467,2.9011467,0.5,5.8022933,0.5,5.8022933,15.0,37.0,165.0,201.0
30,1.0,2.9011467,2.9011467,0.5,5.8022933,0.75,3.8681955,15.0,37.0,165.0,283.0
31,1.0,3.8246038,3.8246038,0.54545456,7.011773,0.09090909,42.07064,15.0,37.0,192.0,251.0
32,1.0,3.8246038,3.8246038,1.0,3.8246038,0.25,15.298415,15.0,37.0,192.0,280.0
33,1.0,1.028115,1.028115,0.75,1.37082,0.25,4.11246,15.0,37.0,193.0,40.0
34,1.0,1.028115,1.028115,0.6,1.713525,0.2,5.1405754,15.0,37.0,193.0,50.0
35,1.0,1.028115,1.028115,0.5,2.05623,0.16666667,6.16869,15.0,37.0,193.0,200.0
36,1.0,4.2688584,4.2688584,0.54545456,7.82624,0.27272728,15.65248,29.0,37.0,41.0,260.0
37,1.0,3.608038,3.608038,0.54545456,6.614736,0.36363637,9.922104,29.0,37.0,58.0,180.0
38,1.0,3.608038,3.608038,1.0,3.608038,0.33333334,10.824114,29.0,37.0,58.0,230.0
39,1.0,2.9093757,2.9093757,0.6666667,4.3640633,0.33333334,8.728127,29.0,37.0,95.0,81.0
40,1.0,2.9093757,2.9093757,0.33333334,8.728127,0.16666667,17.456253,29.0,37.0,95.0,81.0
41,1.0,2.9093757,2.9093757,1.0,2.9093757,0.5,5.8187513,29.0,37.0,95.0,168.0
42,1.0,2.2431839,2.2431839,0.27272728,8.225007,0.18181819,12.337511,29.0,37.0,130.0,220.0
43,1.0,2.2431839,2.2431839,0.18181819,12.337511,0.18181819,12.337511,29.0,37.0,130.0,238.0
44,1.0,2.2431839,2.2431839,0.75,2.990912,0.5,4.4863677,29.0,37.0,130.0,322.0
45,1.0,8.377428,8.377428,0.45454547,18.430342,0.18181819,46.075855,29.0,37.0,157.0,330.0
46,1.0,1.0,1.0,0.5,2.0,0.5,2.0,29.0,37.0,159.0,265.0
47,1.0,78.466446,78.466446,0.71428573,109.85302,0.42857143,183.08836,16.0,29.0,126.0,139.0
48,1.0,20.339457,20.339457,1.0,20.339457,0.4,50.84864,22.0,14.0,111.0,162.0
49,1.0,11.847948,11.847948,0.61538464,19.252914,0.15384616,77.01166,22.0,14.0,121.0,86.0
50,1.0,26.763683,26.763683,0.75,35.684914,0.5,53.527367,22.0,14.0,124.0,166.0
51,1.0,26.763683,26.763683,0.8888889,30.109144,0.22222222,120.43658,22.0,14.0,124.0,166.0
52,2.0,6.9692416,6.9692416,1.0,6.9692416,1.0,6.9692416,12.0,5.0,15.0,32.0
53,2.0,13.878099,13.878099,0.22222222,62.451447,0.11111111,124.90289,12.0,5.0,21.0,84.0
54,2.0,13.878099,13.878099,1.0,13.878099,0.5,27.756199,12.0,5.0,21.0,254.0
55,2.0,11.386949,11.386949,1.0,11.386949,0.5,22.773897,12.0,5.0,29.0,75.0
56,2.0,3.8518412,3.8518412,0.7692308,5.0073934,0.30769232,12.518483,12.0,5.0,31.0,53.0
57,2.0,9.227271,9.227271,1.0,9.227271,0.5,18.454542,12.0,5.0,65.0,256.0
58,2.0,7.4776,7.4776,1.0,7.4776,1.0,7.4776,12.0,5.0,81.0,34.0
59,2.0,7.4776,7.4776,0.5,14.9552,0.5,14.9552,12.0,5.0,81.0,128.0
60,2.0,5.0529933,5.0529933,0.6923077,7.298768,0.3846154,13.137782,12.0,5.0,147.0,137.0
61,2.0,5.0529933,5.0529933,1.0,5.0529933,1.0,5.0529933,12.0,5.0,147.0,279.0
62,2.0,4.1400394,4.1400394,1.0,4.1400394,0.33333334,12.420118,12.0,5.0,158.0,264.0
63,2.0,8.167354,8.167354,1.0,8.167354,0.2,40.83677,40.0,7.0,23.0,36.0
64,2.0,8.167354,8.167354,1.0,8.167354,1.0,8.167354,40.0,7.0,23.0,54.0
65,2.0,19.735176,19.735176,1.0,19.735176,1.0,19.735176,40.0,7.0,32.0,72.0
66,2.0,5.642923,5.642923,1.0,5.642923,1.0,5.642923,40.0,7.0,48.0,42.0
67,,12.115694,12.115694,2.0,6.057847,1.0,12.115694,,,,
68,2.0,5.993646,5.993646,1.0,5.993646,0.33333334,17.980938,40.0,7.0,123.0,274.0
69,2.0,7.41482,7.41482,1.0,7.41482,1.0,7.41482,40.0,7.0,129.0,215.0
70,2.0,3.9356365,3.9356365,,,,,40.0,7.0,135.0,67.0
71,2.0,3.9356365,3.9356365,1.0,3.9356365,0.5555556,7.0841455,40.0,7.0,135.0,226.0
72,2.0,9.206015,9.206015,,,,,40.0,7.0,136.0,195.0
73,2.0,4.8297987,4.8297987,1.0,4.8297987,1.0,4.8297987,40.0,7.0,137.0,58.0
74,2.0,10.438094,10.438094,0.075,139.17459,0.05,208.76189,19.0,11.0,16.0,69.0
75,2.0,10.438094,10.438094,1.0,10.438094,0.5,20.876188,19.0,11.0,16.0,104.0
76,2.0,10.438094,10.438094,1.0,10.438094,1.0,10.438094,19.0,11.0,16.0,156.0
77,2.0,18.268717,18.268717,1.0,18.268717,1.0,18.268717,19.0,11.0,43.0,245.0
78,2.0,24.429361,24.429361,0.33333334,73.288086,0.33333334,73.288086,19.0,11.0,46.0,114.0
79,2.0,24.429361,24.429361,1.0,24.429361,0.6666667,36.644043,19.0,11.0,46.0,155.0
80,2.0,24.429361,24.429361,0.33333334,73.288086,0.11111111,219.86426,19.0,11.0,46.0,212.0
81,2.0,16.370686,16.370686,1.0,16.370686,1.0,16.370686,19.0,11.0,47.0,73.0
82,2.0,18.147678,18.147678,1.0,18.147678,0.6666667,27.221518,19.0,11.0,50.0,31.0
83,2.0,18.147678,18.147678,0.4,45.369194,0.3,60.49226,19.0,11.0,50.0,105.0
84,2.0,14.002163,14.002163,0.8181818,17.113754,0.36363637,38.505947,6.0,16.0,12.0,26.0
85,2.0,14.002163,14.002163,1.0,14.002163,1.0,14.002163,6.0,16.0,12.0,138.0
86,2.0,3.7377849,3.7377849,0.71428573,5.2328987,0.21428572,17.442995,6.0,16.0,30.0,52.0
87,2.0,6.611758,6.611758,0.5,13.223516,0.125,52.894066,6.0,16.0,75.0,239.0
88,2.0,8.627823,8.627823,0.625,13.804517,0.1875,46.015057,6.0,16.0,98.0,181.0
89,2.0,6.4761243,6.4761243,1.0,6.4761243,0.5,12.952249,6.0,16.0,148.0,125.0
90,2.0,6.4761243,6.4761243,1.0,6.4761243,1.0,6.4761243,6.0,16.0,148.0,242.0
91,2.0,6.9591,6.9591,0.6666667,10.43865,0.33333334,20.8773,6.0,16.0,153.0,82.0
92,2.0,4.2202277,4.2202277,1.0,4.2202277,0.5,8.440455,6.0,16.0,156.0,51.0
93,2.0,4.2202277,4.2202277,0.6666667,6.3303413,0.33333334,12.660683,6.0,16.0,156.0,271.0
94,2.0,10.581912,10.581912,0.6666667,15.872868,0.33333334,31.745735,27.0,21.0,80.0,127.0
95,2.0,4.5247126,4.5247126,1.0,4.5247126,0.5,9.049425,27.0,21.0,108.0,293.0
96,2.0,12.662667,12.662667,1.0,12.662667,0.75,16.883556,27.0,21.0,144.0,6.0
97,2.0,13.961737,13.961737,1.0,13.961737,0.75,18.61565,27.0,21.0,171.0,8.0
98,2.0,13.961737,13.961737,1.0,13.961737,0.2,69.808685,27.0,21.0,171.0,289.0
99,2.0,9.8694315,9.8694315,1.0,9.8694315,0.75,13.159243,27.0,21.0,177.0,10.0
100,2.0,9.8694315,9.8694315,,,,,27.0,21.0,177.0,295.0
101,2.0,8.490406,8.490406,1.0,8.490406,1.0,8.490406,41.0,36.0,96.0,324.0
600,2.0,8.490406,8.490406,0.8,10.613008,0.5714286,14.85821,41.0,36.0,96.0,324.0
103,2.0,16.922924,16.922924,1.0,16.922924,1.0,16.922924,41.0,36.0,97.0,95.0
104,2.0,10.274007,10.274007,1.0,10.274007,0.33333334,30.822021,41.0,36.0,128.0,213.0
105,2.0,6.7476997,6.7476997,1.0,6.7476997,0.33333334,20.2431,41.0,36.0,145.0,208.0
106,2.0,6.7476997,6.7476997,1.0,6.7476997,0.6666667,10.12155,41.0,36.0,145.0,240.0
107,2.0,12.758341,12.758341,1.0,12.758341,0.5,25.516682,41.0,36.0,149.0,143.0
108,2.0,12.758341,12.758341,1.0,12.758341,0.5,25.516682,41.0,36.0,149.0,262.0
109,2.0,12.758341,12.758341,1.0,12.758341,1.0,12.758341,41.0,36.0,149.0,308.0
110,2.0,7.2186975,7.2186975,0.7692308,9.384307,0.30769232,23.460766,41.0,36.0,188.0,160.0
111,2.0,7.2186975,7.2186975,1.0,7.2186975,0.6666667,10.828047,41.0,36.0,188.0,298.0
112,2.0,5.8932223,5.8932223,1.0,5.8932223,1.0,5.8932223,41.0,36.0,191.0,325.0
113,2.0,3.9677873,3.9677873,1.0,3.9677873,1.3333334,2.9758406,14.0,28.0,11.0,236.0
114,2.0,5.650223,5.650223,1.0,5.650223,0.5,11.300446,14.0,28.0,25.0,38.0
115,2.0,3.29529,3.29529,1.0,3.29529,0.33333334,9.88587,14.0,28.0,37.0,123.0
116,2.0,4.4197807,4.4197807,0.75,5.893041,0.25,17.679123,14.0,28.0,45.0,70.0
117,2.0,5.0098705,5.0098705,1.0,5.0098705,1.0,5.0098705,14.0,28.0,94.0,102.0
118,2.0,2.2845623,2.2845623,1.0,2.2845623,1.0,2.2845623,14.0,28.0,104.0,189.0
119,2.0,2.2845623,2.2845623,1.0,2.2845623,0.5,4.5691247,14.0,28.0,104.0,329.0
120,2.0,1.6688013,1.6688013,1.0,1.6688013,0.6666667,2.503202,14.0,28.0,132.0,80.0
121,2.0,1.6688013,1.6688013,0.53846157,3.0992024,0.3846154,4.3388834,14.0,28.0,132.0,219.0
122,2.0,1.6688013,1.6688013,1.0,1.6688013,0.33333334,5.006404,14.0,28.0,132.0,258.0
123,2.0,6.0859013,6.0859013,1.0,6.0859013,1.0,6.0859013,14.0,28.0,142.0,214.0
124,2.0,6.0859013,6.0859013,1.0,6.0859013,1.0,6.0859013,14.0,28.0,142.0,328.0
125,2.0,10.29931,10.29931,1.0,10.29931,0.25,41.19724,13.0,13.0,33.0,33.0
126,2.0,10.29931,10.29931,1.0,10.29931,1.0,10.29931,13.0,13.0,33.0,142.0
127,2.0,10.29931,10.29931,1.0,10.29931,0.6666667,15.448965,13.0,13.0,33.0,198.0
128,2.0,15.420055,15.420055,0.71428573,21.588078,0.2857143,53.970192,13.0,13.0,155.0,68.0
129,2.0,10.799535,10.799535,1.0,10.799535,0.5,21.59907,13.0,13.0,160.0,266.0
130,2.0,10.799535,10.799535,0.6923077,15.599328,0.23076923,46.797985,13.0,13.0,160.0,269.0
131,2.0,10.799535,10.799535,1.0,10.799535,0.5,21.59907,13.0,13.0,160.0,270.0
132,2.0,7.0026073,7.0026073,0.7692308,9.103389,0.07692308,91.03389,4.0,25.0,26.0,41.0
133,2.0,10.231539,10.231539,1.0,10.231539,1.0,10.231539,4.0,25.0,27.0,98.0
134,2.0,4.7715254,4.7715254,0.6666667,7.157288,0.33333334,14.314576,4.0,25.0,34.0,74.0
135,2.0,3.5240002,3.5240002,0.7692308,4.5812,0.23076923,15.270668,4.0,25.0,35.0,43.0
136,2.0,14.876021,14.876021,0.71428573,20.82643,0.2857143,52.06607,4.0,25.0,36.0,71.0
137,2.0,14.876021,14.876021,1.0,14.876021,0.5,29.752043,4.0,25.0,36.0,76.0
138,2.0,6.4539266,6.4539266,0.5882353,10.971675,0.11764706,54.858376,4.0,25.0,42.0,209.0
139,2.0,14.441332,14.441332,1.0,14.441332,0.6666667,21.661999,4.0,25.0,44.0,56.0
140,2.0,5.791574,5.791574,1.0,5.791574,0.5,11.583148,4.0,25.0,133.0,57.0
141,2.0,6.643788,6.643788,1.0,6.643788,1.0,6.643788,5.0,8.0,20.0,261.0
142,2.0,6.643788,6.643788,1.0,6.643788,1.0,6.643788,5.0,8.0,20.0,275.0
143,2.0,23.261383,23.261383,0.15789473,147.3221,0.05263158,441.96628,5.0,8.0,49.0,77.0
144,2.0,6.52861,6.52861,0.2857143,22.850134,0.2857143,22.850134,5.0,8.0,68.0,97.0
145,2.0,6.52861,6.52861,0.25,26.11444,0.083333336,78.34332,5.0,8.0,68.0,101.0
146,2.0,6.52861,6.52861,1.0,6.52861,1.0,6.52861,5.0,8.0,68.0,111.0
147,2.0,5.6590414,5.6590414,1.0,5.6590414,0.6666667,8.488562,5.0,8.0,92.0,232.0
148,4.0,15.424122,15.424122,1.0,15.424122,0.6,25.70687,28.0,3.0,3.0,3.0
149,4.0,15.424122,15.424122,1.0,15.424122,0.5714286,26.992212,28.0,3.0,3.0,17.0
150,4.0,9.827105,9.827105,1.0,9.827105,0.4,24.56776,28.0,3.0,4.0,21.0
151,4.0,14.2281685,14.2281685,1.0,14.2281685,0.5,28.456337,28.0,3.0,54.0,24.0
152,4.0,4.5750813,4.5750813,1.0,4.5750813,0.6,7.6251354,28.0,3.0,64.0,100.0
153,4.0,8.722806,8.722806,1.0,8.722806,0.8,10.903507,28.0,3.0,154.0,20.0
154,4.0,8.722806,8.722806,1.0,8.722806,0.6666667,13.084209,28.0,3.0,154.0,300.0
155,4.0,3.8443682,3.8443682,0.375,10.251649,0.25,15.377473,2.0,4.0,9.0,14.0
156,4.0,3.184542,3.184542,0.8888889,3.5826097,0.22222222,14.330439,2.0,4.0,56.0,296.0
157,4.0,6.289453,6.289453,0.45454547,13.836797,0.27272728,23.061327,2.0,4.0,134.0,92.0
158,4.0,8.36903,8.36903,0.875,9.564606,0.25,33.47612,2.0,4.0,173.0,331.0
159,4.0,7.8797245,7.8797245,0.5,15.759449,0.1,78.79724,2.0,4.0,182.0,194.0
160,4.0,7.8797245,7.8797245,0.6666667,11.819587,0.41666666,18.911339,2.0,4.0,182.0,288.0
161,4.0,15.97043,15.97043,1.0,15.97043,0.33333334,47.911293,17.0,20.0,99.0,297.0
162,4.0,3.3173807,3.3173807,1.0,3.3173807,0.6666667,4.976071,17.0,20.0,100.0,303.0
163,4.0,3.3173807,3.3173807,1.0,3.3173807,0.2,16.586903,17.0,20.0,100.0,309.0
164,4.0,5.3517504,5.3517504,1.0,5.3517504,0.33333334,16.055252,17.0,20.0,113.0,304.0
165,4.0,16.202042,16.202042,1.0,16.202042,0.16666667,97.21225,17.0,20.0,114.0,192.0
166,4.0,4.474002,4.474002,0.75,5.965336,0.5,8.948004,17.0,20.0,175.0,306.0
167,4.0,9.4768305,9.4768305,1.0,9.4768305,1.0,9.4768305,17.0,20.0,178.0,12.0
168,4.0,16.85906,16.85906,1.0,16.85906,0.6666667,25.28859,26.0,2.0,6.0,16.0
169,4.0,16.70476,16.70476,1.0,16.70476,1.0,16.70476,26.0,2.0,10.0,22.0
170,4.0,15.835179,15.835179,1.0,15.835179,0.6,26.391966,26.0,2.0,57.0,91.0
171,4.0,11.203885,11.203885,1.0,11.203885,1.0,11.203885,18.0,9.0,8.0,19.0
172,4.0,17.042053,17.042053,0.6,28.403421,0.8,21.302567,18.0,9.0,13.0,13.0
173,4.0,17.042053,17.042053,1.0,17.042053,0.75,22.722738,18.0,9.0,13.0,23.0
174,4.0,18.556778,18.556778,1.0,18.556778,0.5,37.113556,18.0,9.0,77.0,25.0
175,4.0,10.728027,10.728027,1.0,10.728027,0.33333334,32.184082,18.0,9.0,172.0,292.0
176,4.0,4.124352,4.124352,0.5,8.248704,0.25,16.497408,32.0,26.0,169.0,311.0
177,4.0,5.31564,5.31564,0.53846157,9.871902,0.15384616,34.55166,32.0,26.0,174.0,294.0
178,4.0,5.31564,5.31564,0.2857143,18.604738,0.2857143,18.604738,32.0,26.0,174.0,310.0
179,4.0,8.93885,8.93885,0.6666667,13.408276,0.33333334,26.816551,32.0,26.0,194.0,203.0
180,4.0,3.9091399,3.9091399,0.0,,0.33333334,11.72742,38.0,33.0,1.0,5.0
181,4.0,3.9091399,3.9091399,0.8,4.886425,0.8,4.886425,38.0,33.0,1.0,9.0
182,4.0,2.803757,2.803757,1.0,2.803757,1.0,2.803757,38.0,33.0,2.0,28.0
183,4.0,1.9246539,1.9246539,0.5,3.8493078,0.25,7.6986156,38.0,33.0,7.0,1.0
184,4.0,9.827105,9.827105,0.0,,0.5,19.65421,38.0,33.0,61.0,15.0
185,4.0,1.958136,1.958136,1.0,1.958136,0.5,3.916272,38.0,33.0,72.0,124.0
186,4.0,3.1137042,3.1137042,1.0,3.1137042,0.5,6.2274084,38.0,33.0,118.0,4.0
187,4.0,3.238346,3.238346,1.0,3.238346,0.33333334,9.715038,38.0,33.0,140.0,2.0
188,4.0,3.238346,3.238346,1.0,3.238346,1.0,3.238346,38.0,33.0,146.0,18.0
189,4.0,1.8337587,1.8337587,1.0,1.8337587,0.42857143,4.27877,38.0,33.0,162.0,11.0
190,4.0,13.51671,13.51671,1.0,13.51671,0.4,33.791775,1.0,1.0,5.0,277.0
191,4.0,5.0392222,5.0392222,0.0,,0.25,20.156889,1.0,1.0,107.0,204.0
192,4.0,13.287415,13.287415,1.0,13.287415,0.25,53.14966,1.0,1.0,115.0,290.0
193,4.0,11.794504,11.794504,1.0,11.794504,0.5,23.589008,1.0,1.0,116.0,7.0
194,4.0,8.71797,8.71797,1.0,8.71797,0.5,17.43594,1.0,1.0,122.0,278.0
195,4.0,9.854118,9.854118,1.0,9.854118,0.5,19.708237,1.0,1.0,176.0,202.0
196,4.0,9.373356,9.373356,1.0,9.373356,0.25,37.493423,1.0,1.0,181.0,301.0
197,4.0,21.302486,21.302486,1.0,21.302486,0.33333334,63.90746,1.0,1.0,186.0,302.0
198,4.0,21.323494,21.323494,1.0,21.323494,0.5,42.646988,31.0,23.0,117.0,90.0
199,4.0,9.827105,9.827105,1.0,9.827105,1.0,9.827105,31.0,23.0,127.0,291.0
